Wall time,Step,Value,num_steps
1485994098.88385,171946,0.4236470461,4
1485994099.15426,172046,0.2985221148,4
1485994101.55845,172946,0.7349293232,4
1485994102.62759,173346,0.7537575364,4
1485994102.89312,173446,0.8093927503,4
1485994103.16185,173546,0.7770159245,4
1485994103.43176,173646,0.336319387,4
1485994103.97364,173846,0.7539756894,4
1485994105.30837,174346,0.5974078178,4
1485994105.57297,174446,0.69133389,4
1485994106.11051,174646,0.8375365734,4
1485994106.38259,174746,0.4905643463,4
1485994106.65271,174846,0.6559700966,4
1485994107.46482,175146,0.7320428491,4
1485994107.99813,175346,0.2165940404,4
1485994108.26307,175446,0.9399731755,4
1485994108.52513,175546,0.8105213642,4
1485994110.96691,176446,0.55547297,4
1485994111.774,176746,0.6455695629,4
1485994114.20911,177646,0.9498664141,4
1485994115.82971,178246,0.9780362844,4
1485994116.10812,178346,0.9710094333,4
1485994117.74044,178946,0.9681700468,4
1485994118.02511,179046,0.6110972166,4
1485994118.29114,179146,0.5025024414,4
1485994118.8377,179346,0.7719010711,4
1485994120.4458,179946,0.7133824825,4
1485994122.04906,180546,0.7690012455,4
1485994122.32181,180646,0.8133884668,4
1485994124.48465,181446,0.8526682854,4
1485994124.74798,181546,0.5032503605,4
1485994125.55132,181846,0.5435055494,4
1485994126.3788,182146,0.2552794814,4
1485994127.447,182546,0.2237338424,4
1485994127.98059,182746,0.801961422,4
1485994129.05098,183146,0.9378972054,4
1485994130.65601,183746,0.7685576677,4
1485994131.72663,184146,0.8531825542,4
1485994131.99442,184246,0.8076426387,4
1485994132.79474,184546,0.9671241045,4
1485994133.33051,184746,0.9039259553,4
1485994134.13874,185046,0.6576621532,4
1485994135.20473,185446,0.590896368,4
1485994135.73656,185646,0.7823398709,4
1485994136.2789,185846,0.8561364412,4
1485994136.53998,185946,0.7988972664,4
1485994136.80989,186046,0.9591134191,4
1485994138.69446,186746,0.9230986238,4
1485994139.22487,186946,0.8405929804,4
1485994139.49531,187046,0.9414321184,4
1485994141.08576,187646,0.7389892936,4
1485994141.35551,187746,0.659509182,4
1485994141.62442,187846,0.9531053305,4
1485994142.17173,188046,0.9460997581,4
1485994142.72053,188246,0.5306799412,4
1485994145.92807,189446,0.9115794897,4
1485994148.33557,190346,0.8906248212,4
1485994149.40325,190746,0.6692436934,4
1485994150.75081,191246,0.7966536283,4
1485994151.01533,191346,0.6452287436,4
1485994152.36669,191846,0.7138984799,4
1485994152.62564,191946,0.5533391833,4
1485994152.89802,192046,0.6235022545,4
1485994153.97139,192446,0.7239258885,4
1485994154.2385,192546,0.2923595309,4
1485994155.8509,193146,0.7394458055,4
1485994156.9209,193546,0.5143179893,4
1485994157.19062,193646,0.9585074782,4
1485994157.46352,193746,0.7370765209,4
1485994157.99788,193946,0.7533704638,4
1485994158.26933,194046,0.679743886,4
1485994159.61263,194546,0.6107075214,4
1485994160.41551,194846,0.5058817863,4
1485994160.94447,195046,0.754883647,4
1485994161.75224,195346,0.9311941862,4
1485994162.57013,195646,0.9429809451,4
1485994163.37243,195946,0.7583861351,4
1485994163.91061,196146,0.969876945,4
1485994165.52947,196746,0.8149253726,4
1485994165.79596,196846,0.7232156992,4
1485994166.33719,197046,0.4863846302,4
1485994166.87243,197246,0.9687460661,4
1485994169.28818,198146,0.9658138752,4
1485994169.55436,198246,0.5698475838,4
1485994169.81939,198346,0.5993113518,4
1485994170.08465,198446,0.4362866282,4
1485994173.84901,199846,0.6335127354,4
1485994174.92128,200246,0.8250683546,4
1485994175.99277,200646,0.6989511847,4
1485994176.26338,200746,0.5751045346,4
1485994177.06452,201046,0.5699538589,4
1485994177.33473,201146,0.9586235881,4
1485994178.14331,201446,0.9647158384,4
1485994178.67831,201646,0.9586705565,4
1485994179.21413,201846,0.6671313643,4
1485994180.55014,202346,0.8267436624,4
1485994181.36136,202646,0.9630892277,4
1485994181.89588,202846,0.8132795095,4
1485994182.1736,202946,0.9431104064,4
1485994182.7144,203146,0.9350214005,4
1485994183.52674,203446,0.5160583258,4
1485994184.34342,203746,0.8632648587,4
1485994184.86969,203946,0.545280695,4
1485994185.6886,204246,0.6452692747,4
1485994186.49358,204546,0.8066971898,4
1485994186.75854,204646,0.8229595423,4
1485994187.56271,204946,0.2884624004,4
1485994188.3596,205246,0.2720494866,4
1485994190.50264,206046,0.781891048,4
1485994190.76673,206146,0.3220946193,4
1485994191.30938,206346,0.3342019916,4
1485994192.64635,206846,0.7485710382,4
1485994193.99613,207346,0.8302722573,4
1485994194.27435,207446,0.5685094595,4
1485994194.54753,207546,0.8248907328,4
1485994195.07858,207746,0.3407607675,4
1485994195.35445,207846,0.9655655026,4
1485994195.89129,208046,0.5820465088,4
1485994196.43683,208246,0.7392967939,4
1485994197.24558,208546,0.2488365769,4
1485994197.51621,208646,0.0926285386,4
1485994198.60416,209046,0.276922822,4
1485994199.96645,209546,0.516952157,4
1485994200.50588,209746,0.7948069572,4
1485994202.11417,210346,0.8728571534,4
1485994202.38598,210446,0.9174633026,4
1485994202.65268,210546,0.7030823231,4
1485994202.92923,210646,0.9016142488,4
1485994203.20145,210746,0.768688798,4
1485994204.00341,211046,0.9235138893,4
1485994204.53498,211246,0.5793298483,4
1485994205.33621,211546,0.5294680595,4
1485994205.6029,211646,0.9433916807,4
1485994206.41183,211946,0.4996764064,4
1485994206.96444,212146,0.640539825,4
1485994207.51023,212346,0.8238453269,4
1485994207.77374,212446,0.4055342078,4
1485994208.03936,212546,0.9455225468,4
1485994209.09859,212946,0.6283292174,4
1485994210.16431,213346,0.9543976188,4
1485994210.43096,213446,0.9534521103,4
